total_bill,tip,sex,smoker,day,time,size,price_per_person,Payer Name,CC Number,Payment ID,total_amt
16.99,1.01,Female,No,Sun,Dinner,2,8.49,Christy Cunningham,3.56033E+15,Sun2959,18
10.34,1.66,Male,No,Sun,Dinner,3,3.45,Douglas Tucker,4.47807E+15,Sun4608,12
21.01,3.5,Male,No,Sun,Dinner,3,7,Travis Walters,6.01181E+15,Sun4458,24.51
23.68,3.31,Male,No,Sun,Dinner,2,11.84,Nathaniel Harris,4.67614E+15,Sun5260,26.99
24.59,3.61,Female,No,Sun,Dinner,4,6.15,Tonya Carter,4.83273E+15,Sun2251,28.2
25.29,4.71,Male,No,Sun,Dinner,4,6.32,Erik Smith,213140000000000,Sun9679,30
8.77,2,Male,No,Sun,Dinner,2,4.38,Kristopher Johnson,2.22373E+15,Sun5985,10.77
26.88,3.12,Male,No,Sun,Dinner,4,6.72,Robert Buck,3.51479E+15,Sun8157,30
15.04,1.96,Male,No,Sun,Dinner,2,7.52,Joseph Mcdonald,3.52287E+15,Sun6820,17
14.78,3.23,Male,No,Sun,Dinner,2,7.39,Jerome Abbott,3.53212E+15,Sun3775,18.01
10.27,1.71,Male,No,Sun,Dinner,2,5.14,William Riley,566288000000,Sun2546,11.98
35.26,5,Female,No,Sun,Dinner,4,8.82,Diane Macias,4.57782E+15,Sun6686,40.26
15.42,1.57,Male,No,Sun,Dinner,2,7.71,Chad Harrington,577041000000,Sun1300,16.99
18.43,3,Male,No,Sun,Dinner,4,4.61,Joshua Jones,6.01116E+15,Sun2971,21.43
14.83,3.02,Female,No,Sun,Dinner,2,7.42,Vanessa Jones,30016700000000,Sun3848,17.85
21.58,3.92,Male,No,Sun,Dinner,2,10.79,Matthew Reilly,180073000000000,Sun1878,25.5
10.33,1.67,Female,No,Sun,Dinner,3,3.44,Elizabeth Foster,4.24003E+15,Sun9715,12
16.29,3.71,Male,No,Sun,Dinner,3,5.43,John Pittman,6.52134E+15,Sun2998,20
16.97,3.5,Female,No,Sun,Dinner,3,5.66,Laura Martinez,30422300000000,Sun2789,20.47
20.65,3.35,Male,No,Sat,Dinner,3,6.88,Timothy Oneal,6.56807E+15,Sat9213,24
17.92,4.08,Male,No,Sat,Dinner,2,8.96,Thomas Rice,4.4033E+15,Sat1709,22
20.29,2.75,Female,No,Sat,Dinner,2,10.14,Natalie Gardner,5.44813E+15,Sat9618,23.04
15.77,2.23,Female,No,Sat,Dinner,2,7.88,Ashley Shelton,3.52412E+15,Sat9786,18
39.42,7.58,Male,No,Sat,Dinner,4,9.86,Lance Peterson,3.54258E+15,Sat239,47
19.82,3.18,Male,No,Sat,Dinner,2,9.91,Christopher Ross,36739100000000,Sat6236,23
17.81,2.34,Male,No,Sat,Dinner,4,4.45,Robert Perkins,30502900000000,Sat907,20.15
13.37,2,Male,No,Sat,Dinner,2,6.68,Kyle Avery,6.53134E+15,Sat6651,15.37
12.69,2,Male,No,Sat,Dinner,2,6.34,Patrick Barber,30155600000000,Sat394,14.69
21.7,4.3,Male,No,Sat,Dinner,2,10.85,David Collier,5.52969E+15,Sat3697,26
19.65,3,Female,No,Sat,Dinner,2,9.82,Melinda Murphy,5.48927E+15,Sat2467,22.65
9.55,1.45,Male,No,Sat,Dinner,2,4.78,Grant Hall,30196500000000,Sat4099,11
18.35,2.5,Male,No,Sat,Dinner,4,4.59,Danny Santiago,630416000000,Sat4947,20.85
15.06,3,Female,No,Sat,Dinner,2,7.53,Amanda Wilson,213186000000000,Sat1327,18.06
20.69,2.45,Female,No,Sat,Dinner,4,5.17,Amber Francis,377743000000000,Sat6649,23.14
17.78,3.27,Male,No,Sat,Dinner,2,8.89,Jacob Castillo,3.55149E+15,Sat8124,21.05
24.06,3.6,Male,No,Sat,Dinner,3,8.02,Joseph Mullins,5.51977E+15,Sat632,27.66
16.31,2,Male,No,Sat,Dinner,3,5.44,William Ford,3.52769E+15,Sat9139,18.31
16.93,3.07,Female,No,Sat,Dinner,3,5.64,Erin Lewis,5.1617E+15,Sat6406,20
18.69,2.31,Male,No,Sat,Dinner,3,6.23,Brandon Bradley,4.4276E+15,Sat4056,21
31.27,5,Male,No,Sat,Dinner,3,10.42,Mr. Brandon Berry,6.01153E+15,Sat6373,36.27
16.04,2.24,Male,No,Sat,Dinner,3,5.35,Adam Edwards,3.54445E+15,Sat8549,18.28
17.46,2.54,Male,No,Sun,Dinner,2,8.73,David Boyer,3.53668E+15,Sun9460,20
13.94,3.06,Male,No,Sun,Dinner,2,6.97,Bryan Brown,36231200000000,Sun1699,17
9.68,1.32,Male,No,Sun,Dinner,2,4.84,Christopher Spears,4.38767E+15,Sun3279,11
30.4,5.6,Male,No,Sun,Dinner,4,7.6,Todd Cooper,503847000000,Sun2274,36
18.29,3,Male,No,Sun,Dinner,2,9.14,Richard Fitzgerald,375157000000000,Sun8643,21.29
22.23,5,Male,No,Sun,Dinner,2,11.12,Joshua Gilmore,4292070000000,Sun7097,27.23
32.4,6,Male,No,Sun,Dinner,4,8.1,James Barnes,3.552E+15,Sun9677,38.4
28.55,2.05,Male,No,Sun,Dinner,3,9.52,Austin Fisher,6.01148E+15,Sun4142,30.6
18.04,3,Male,No,Sun,Dinner,2,9.02,William Roth,6.57392E+15,Sun9774,21.04
